Eye Detection,Time
CENTER,14:44:05
Blinking,14:44:05
Blinking,14:44:05
Blinking,14:44:05
Blinking,14:44:05
Blinking,14:44:06
CENTER,14:44:06
Blinking,14:44:06
Blinking,14:44:06
Blinking,14:44:06
Blinking,14:44:06
Blinking,14:44:06
Blinking,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:06
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
Blinking,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
Blinking,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:07
CENTER,14:44:08
CENTER,14:44:08
CENTER,14:44:08
CENTER,14:44:08
CENTER,14:44:08
CENTER,14:44:08
LEFT,14:44:08
LEFT,14:44:08
LEFT,14:44:08
LEFT,14:44:08
LEFT,14:44:08
LEFT,14:44:08
CENTER,14:44:09
CENTER,14:44:09
LEFT,14:44:09
CENTER,14:44:09
CENTER,14:44:09
CENTER,14:44:09
CENTER,14:44:09
LEFT,14:44:09
LEFT,14:44:09
CENTER,14:44:09
CENTER,14:44:09
LEFT,14:44:09
LEFT,14:44:09
CENTER,14:44:09
CENTER,14:44:09
CENTER,14:44:09
CENTER,14:44:09
CENTER,14:44:09
CENTER,14:44:09
CENTER,14:44:09
CENTER,14:44:09
CENTER,14:44:10
CENTER,14:44:10
CENTER,14:44:10
CENTER,14:44:10
CENTER,14:44:10
CENTER,14:44:10
CENTER,14:44:10
CENTER,14:44:11
CENTER,14:44:11
LEFT,14:44:11
CENTER,14:44:11
CENTER,14:44:11
CENTER,14:44:11
CENTER,14:44:11
CENTER,14:44:12
CENTER,14:44:12
CENTER,14:44:12
CENTER,14:44:12
CENTER,14:44:12
CENTER,14:44:12
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:14
CENTER,14:44:15
LEFT,14:44:15
CENTER,14:44:15
CENTER,14:44:15
LEFT,14:44:15
LEFT,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
CENTER,14:44:15
RIGHT,14:44:15
RIGHT,14:44:15
RIGHT,14:44:15
CENTER,14:44:15
CENTER,14:44:16
CENTER,14:44:16
CENTER,14:44:16
CENTER,14:44:16
CENTER,14:44:16
CENTER,14:44:16
Blinking,14:44:16
Blinking,14:44:16
CENTER,14:44:16
CENTER,14:44:16
CENTER,14:44:16
CENTER,14:44:16
LEFT,14:44:16
CENTER,14:44:16
CENTER,14:44:16
LEFT,14:44:16
LEFT,14:44:16
CENTER,14:44:16
LEFT,14:44:16
CENTER,14:44:17
LEFT,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:17
RIGHT,14:44:17
RIGHT,14:44:17
RIGHT,14:44:17
RIGHT,14:44:17
RIGHT,14:44:17
CENTER,14:44:17
RIGHT,14:44:17
RIGHT,14:44:17
RIGHT,14:44:17
CENTER,14:44:17
CENTER,14:44:17
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
CENTER,14:44:18
LEFT,14:44:18
LEFT,14:44:18
LEFT,14:44:18
CENTER,14:44:18
LEFT,14:44:18
LEFT,14:44:18
LEFT,14:44:18
LEFT,14:44:18
CENTER,14:44:19
CENTER,14:44:19
CENTER,14:44:19
CENTER,14:44:19
CENTER,14:44:19
LEFT,14:44:19
CENTER,14:44:19
CENTER,14:44:19
LEFT,14:44:19
CENTER,14:44:19
CENTER,14:44:19
LEFT,14:44:19
CENTER,14:44:19
LEFT,14:44:19
CENTER,14:44:19
LEFT,14:44:19
LEFT,14:44:19
CENTER,14:44:19
LEFT,14:44:19
LEFT,14:44:19
CENTER,14:44:19
CENTER,14:44:19
CENTER,14:44:19
CENTER,14:44:19
CENTER,14:44:20
CENTER,14:44:20
LEFT,14:44:20
LEFT,14:44:20
CENTER,14:44:20
LEFT,14:44:20
LEFT,14:44:20
LEFT,14:44:20
CENTER,14:44:20
CENTER,14:44:20
LEFT,14:44:20
LEFT,14:44:20
CENTER,14:44:20
CENTER,14:44:20
CENTER,14:44:20
CENTER,14:44:20
CENTER,14:44:20
CENTER,14:44:20
CENTER,14:44:20
CENTER,14:44:20
CENTER,14:44:20
CENTER,14:44:20
CENTER,14:44:20
Blinking,14:44:20
CENTER,14:44:20
RIGHT,14:44:21
RIGHT,14:44:21
CENTER,14:44:21
CENTER,14:44:21
RIGHT,14:44:21
RIGHT,14:44:21
CENTER,14:44:21
RIGHT,14:44:21
CENTER,14:44:21
CENTER,14:44:21
CENTER,14:44:21
CENTER,14:44:21
CENTER,14:44:21
CENTER,14:44:21
CENTER,14:44:21
CENTER,14:44:21
Blinking,14:44:21
Blinking,14:44:21
CENTER,14:44:21
CENTER,14:44:21
CENTER,14:44:21
CENTER,14:44:21
Blinking,14:44:21
CENTER,14:44:21
CENTER,14:44:22
Blinking,14:44:22
Blinking,14:44:22
CENTER,14:44:22
CENTER,14:44:22
RIGHT,14:44:23
CENTER,14:44:23
CENTER,14:44:23
CENTER,14:44:23
CENTER,14:44:23
CENTER,14:44:23
CENTER,14:44:23
CENTER,14:44:23
CENTER,14:44:23
CENTER,14:44:23
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:25
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
Blinking,14:44:26
Blinking,14:44:26
Blinking,14:44:26
CENTER,14:44:26
CENTER,14:44:26
CENTER,14:44:26
RIGHT,14:44:26
RIGHT,14:44:26
RIGHT,14:44:26
RIGHT,14:44:26
CENTER,14:44:26
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
CENTER,14:44:27
CENTER,14:44:27
RIGHT,14:44:27
CENTER,14:44:27
CENTER,14:44:27
RIGHT,14:44:27
CENTER,14:44:27
CENTER,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
CENTER,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:27
RIGHT,14:44:28
RIGHT,14:44:28
RIGHT,14:44:28
RIGHT,14:44:28
RIGHT,14:44:28
CENTER,14:44:28
RIGHT,14:44:28
RIGHT,14:44:28
CENTER,14:44:28
RIGHT,14:44:28
RIGHT,14:44:28
RIGHT,14:44:28
RIGHT,14:44:28
CENTER,14:44:28
CENTER,14:44:28
CENTER,14:44:28
RIGHT,14:44:28
RIGHT,14:44:28
CENTER,14:44:28
RIGHT,14:44:28
RIGHT,14:44:28
CENTER,14:44:28
CENTER,14:44:28
RIGHT,14:44:28
RIGHT,14:44:28
RIGHT,14:44:29
CENTER,14:44:29
CENTER,14:44:29
CENTER,14:44:29
CENTER,14:44:29
CENTER,14:44:29
CENTER,14:44:29
CENTER,14:44:29
CENTER,14:44:29
CENTER,14:44:29
CENTER,14:44:29
CENTER,14:44:29
RIGHT,14:44:29
RIGHT,14:44:29
RIGHT,14:44:29
RIGHT,14:44:29
RIGHT,14:44:29
RIGHT,14:44:29
RIGHT,14:44:29
RIGHT,14:44:29
RIGHT,14:44:29
CENTER,14:44:29
CENTER,14:44:29
RIGHT,14:44:29
CENTER,14:44:29
RIGHT,14:44:29
RIGHT,14:44:29
RIGHT,14:44:30
RIGHT,14:44:30
CENTER,14:44:30
RIGHT,14:44:30
CENTER,14:44:30
RIGHT,14:44:30
CENTER,14:44:30
CENTER,14:44:30
Blinking,14:44:30
Blinking,14:44:30
Blinking,14:44:30
Blinking,14:44:30
CENTER,14:44:30
Blinking,14:44:30
Blinking,14:44:30
CENTER,14:44:30
CENTER,14:44:30
CENTER,14:44:30
CENTER,14:44:30
CENTER,14:44:30
CENTER,14:44:30
CENTER,14:44:30
LEFT,14:44:30
LEFT,14:44:30
CENTER,14:44:30
LEFT,14:44:30
CENTER,14:44:30
CENTER,14:44:30
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:31
CENTER,14:44:32
CENTER,14:44:32
CENTER,14:44:32
RIGHT,14:44:32
CENTER,14:44:32
RIGHT,14:44:32
RIGHT,14:44:32
CENTER,14:44:32
CENTER,14:44:32
CENTER,14:44:32
CENTER,14:44:32
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
CENTER,14:44:33
Blinking,14:44:33
Blinking,14:44:33
Blinking,14:44:33
Blinking,14:44:33
Blinking,14:44:33
Blinking,14:44:33
Blinking,14:44:33
Blinking,14:44:33
Blinking,14:44:33
Blinking,14:44:33
Blinking,14:44:34
CENTER,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
CENTER,14:44:34
CENTER,14:44:34
CENTER,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:34
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
CENTER,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:35
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
CENTER,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
CENTER,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
Blinking,14:44:36
CENTER,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
CENTER,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:37
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
CENTER,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:38
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
CENTER,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:39
Blinking,14:44:40
Blinking,14:44:40
Blinking,14:44:40
Blinking,14:44:40
Blinking,14:44:40
Blinking,14:44:40
Blinking,14:44:40
Blinking,14:44:40
Blinking,14:44:40
Blinking,14:44:40
